run_id,algorithm,found_all,found_count,total_targets,discovery_rate,num_false_negatives,frames,distance,use_grid_map,map_width,map_height,cell_size,obstacle_density,seed,stop_reason
0,coverage,1,3,3,1.0,0,4920,14760.0,1,1000,800,20,0.02,200,success
1,coverage,1,3,3,1.0,1,3702,11106.0,1,1000,800,20,0.02,201,success
2,coverage,1,3,3,1.0,0,5419,16257.0,1,1000,800,20,0.02,202,success
3,coverage,1,3,3,1.0,2,4115,12345.0,1,1000,800,20,0.02,203,success
4,coverage,1,3,3,1.0,0,4662,13986.0,1,1000,800,20,0.02,204,success
5,coverage,0,2,3,0.6667,1,15000,11226.0,1,1000,800,20,0.02,205,timeout
6,coverage,1,3,3,1.0,0,4870,14610.0,1,1000,800,20,0.02,206,success
7,coverage,0,1,3,0.3333,0,15000,7104.0,1,1000,800,20,0.02,207,timeout
8,coverage,1,3,3,1.0,0,4958,14874.0,1,1000,800,20,0.02,208,success
9,coverage,0,2,3,0.6667,0,15000,12585.0,1,1000,800,20,0.02,209,timeout

SUMMARY,success_rate,0.7,avg_discovery_rate,0.8667
